Timestamp,MAC,Name,Battery,RSSI,Lat,Lng,AlertState
2026-06-15T00:08:39.020718,4F:BF:13:15:78:7C,h61,94,-59,,,OK
2026-06-15T00:08:39.021549,4F:BF:13:15:78:7C,h61,94,-59,,,OK
2026-06-15T00:08:39.023317,4F:BF:13:15:78:7C,h61,94,-59,,,OK
2026-06-15T00:08:39.244938,78:CD:4D:79:63:0A,h61,94,-60,,,OK
2026-06-15T00:08:39.433252,6D:83:CF:21:F3:ED,34,87,-52,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:39.434520,6D:83:CF:21:F3:ED,34,87,-52,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:39.435340,6D:83:CF:21:F3:ED,34,87,-52,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:39.449716,4F:BF:13:15:78:7C,h61,94,-58,,,OK
2026-06-15T00:08:39.450498,4F:BF:13:15:78:7C,h61,94,-58,,,OK
2026-06-15T00:08:39.451495,4F:BF:13:15:78:7C,h61,94,-58,,,OK
2026-06-15T00:08:39.811248,6D:83:CF:21:F3:ED,34,87,-61,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:39.835503,6D:83:CF:21:F3:ED,34,87,-61,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:40.187468,78:CD:4D:79:63:0A,h61,94,-59,,,OK
2026-06-15T00:08:40.188393,78:CD:4D:79:63:0A,h61,94,-59,,,OK
2026-06-15T00:08:40.189143,78:CD:4D:79:63:0A,h61,94,-58,,,OK
2026-06-15T00:08:40.395754,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-47,,,OK
2026-06-15T00:08:40.396537,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-47,,,OK
2026-06-15T00:08:40.397545,6D:83:CF:21:F3:ED,34,87,-47,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:40.799790,6D:83:CF:21:F3:ED,34,87,-47,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:40.800773,6D:83:CF:21:F3:ED,34,87,-47,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:40.801598,6D:83:CF:21:F3:ED,34,87,-48,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:41.574222,58:89:5B:04:F1:AB,Unknown F1:AB,100,-61,,,OK
2026-06-15T00:08:41.575147,58:89:5B:04:F1:AB,Unknown F1:AB,100,-61,,,OK
2026-06-15T00:08:41.576102,58:89:5B:04:F1:AB,h61,100,-62,,,OK
2026-06-15T00:08:42.168154,6D:83:CF:21:F3:ED,34,87,-47,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:42.169016,6D:83:CF:21:F3:ED,34,87,-47,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:42.169958,6D:83:CF:21:F3:ED,34,87,-47,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:42.726244,6D:83:CF:21:F3:ED,34,87,-49,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:42.727145,6D:83:CF:21:F3:ED,34,87,-49,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:42.727974,6D:83:CF:21:F3:ED,34,87,-49,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:43.132095,6D:83:CF:21:F3:ED,34,87,-62,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:43.133351,6D:83:CF:21:F3:ED,34,87,-62,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:43.746839,58:89:5B:04:F1:AB,h61,100,-82,,,OK
2026-06-15T00:08:43.748018,58:89:5B:04:F1:AB,h61,100,-82,,,OK
2026-06-15T00:08:43.748990,58:89:5B:04:F1:AB,h61,100,-83,,,OK
2026-06-15T00:08:44.293143,58:89:5B:04:F1:AB,h61,100,-78,,,OK
2026-06-15T00:08:44.294148,58:89:5B:04:F1:AB,h61,100,-78,,,OK
2026-06-15T00:08:44.295027,58:89:5B:04:F1:AB,h61,100,-78,,,OK
2026-06-15T00:08:44.498713,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-56,,,OK
2026-06-15T00:08:45.658490,58:89:5B:04:F1:AB,h61,100,-86,,,OK
2026-06-15T00:08:45.659314,58:89:5B:04:F1:AB,h61,100,-86,,,OK
2026-06-15T00:08:45.660209,58:89:5B:04:F1:AB,h61,100,-87,,,OK
2026-06-15T00:08:45.856673,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-57,,,OK
2026-06-15T00:08:45.857287,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-57,,,OK
2026-06-15T00:08:45.858087,6D:83:CF:21:F3:ED,34,87,-57,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:46.432333,6D:83:CF:21:F3:ED,34,87,-57,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:46.637614,58:89:5B:04:F1:AB,h61,100,-86,,,OK
2026-06-15T00:08:46.638996,58:89:5B:04:F1:AB,h61,100,-86,,,OK
2026-06-15T00:08:46.639920,58:89:5B:04:F1:AB,h61,100,-86,,,OK
2026-06-15T00:08:46.814807,6D:83:CF:21:F3:ED,34,87,-50,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:46.815781,6D:83:CF:21:F3:ED,34,87,-50,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:46.816568,6D:83:CF:21:F3:ED,34,87,-50,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:47.635715,6D:83:CF:21:F3:ED,34,87,-50,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:47.636542,6D:83:CF:21:F3:ED,34,87,-50,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:47.637222,6D:83:CF:21:F3:ED,34,87,-50,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:47.806328,6D:83:CF:21:F3:ED,34,87,-62,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:47.807147,6D:83:CF:21:F3:ED,34,87,-62,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:48.009314,58:89:5B:04:F1:AB,h61,100,-84,,,OK
2026-06-15T00:08:48.010224,58:89:5B:04:F1:AB,h61,100,-84,,,OK
2026-06-15T00:08:48.011169,58:89:5B:04:F1:AB,h61,100,-84,,,OK
2026-06-15T00:08:48.191074,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-47,,,OK
2026-06-15T00:08:48.192032,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-47,,,OK
2026-06-15T00:08:48.192841,6D:83:CF:21:F3:ED,34,87,-47,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:48.584949,6D:83:CF:21:F3:ED,34,87,-49,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:48.585779,6D:83:CF:21:F3:ED,34,87,-49,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:48.586609,6D:83:CF:21:F3:ED,34,87,-49,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:49.188275,6D:83:CF:21:F3:ED,34,87,-61,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:49.189253,6D:83:CF:21:F3:ED,34,87,-61,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:49.576207,63:C4:8A:33:F6:06,Unknown F6:06,100,-86,,,OK
2026-06-15T00:08:49.577160,63:C4:8A:33:F6:06,Unknown F6:06,100,-86,,,OK
2026-06-15T00:08:49.578005,63:C4:8A:33:F6:06,h61,94,-86,22.494799999999998,88.27300000000002,OK
2026-06-15T00:08:50.360894,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-50,,,OK
2026-06-15T00:08:50.361838,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-50,,,OK
2026-06-15T00:08:50.362722,6D:83:CF:21:F3:ED,34,87,-51,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:50.544033,63:C4:8A:33:F6:06,h61,94,-86,22.494799999999998,88.27300000000002,OK
2026-06-15T00:08:51.110985,6D:83:CF:21:F3:ED,34,87,-62,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:51.112013,6D:83:CF:21:F3:ED,34,87,-62,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:51.504691,63:C4:8A:33:F6:06,h61,94,-89,22.494799999999998,88.27300000000002,OK
2026-06-15T00:08:51.719306,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-51,,,OK
2026-06-15T00:08:51.720082,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-51,,,OK
2026-06-15T00:08:51.720935,6D:83:CF:21:F3:ED,34,87,-51,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:51.936025,6D:83:CF:21:F3:ED,34,87,-63,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:51.943344,6D:83:CF:21:F3:ED,34,87,-63,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:52.472704,63:C4:8A:33:F6:06,h61,94,-86,22.494799999999998,88.27300000000002,OK
2026-06-15T00:08:52.473754,63:C4:8A:33:F6:06,h61,94,-86,22.494799999999998,88.27300000000002,OK
2026-06-15T00:08:52.474728,63:C4:8A:33:F6:06,h61,94,-86,22.494799999999998,88.27300000000002,OK
2026-06-15T00:08:52.666045,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-51,,,OK
2026-06-15T00:08:52.666946,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-51,,,OK
2026-06-15T00:08:52.668084,6D:83:CF:21:F3:ED,34,87,-51,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:52.873065,63:C4:8A:33:F6:06,h61,94,-92,22.494799999999998,88.27300000000002,OK
2026-06-15T00:08:53.084280,6D:83:CF:21:F3:ED,34,87,-51,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:53.085567,6D:83:CF:21:F3:ED,34,87,-51,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:53.086532,6D:83:CF:21:F3:ED,34,87,-51,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:53.873202,6D:83:CF:21:F3:ED,34,87,-60,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:53.874413,6D:83:CF:21:F3:ED,34,87,-60,22.494799999999998,88.27289999999999,OK
2026-06-15T00:08:54.037765,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-47,,,OK
2026-06-15T00:08:54.038666,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-47,,,OK
