Timestamp,MAC,Name,Battery,RSSI,Lat,Lng,AlertState
2026-06-15T01:27:46.667455,7E:87:83:88:EE:D9,Unknown EE:D9,100,-89,,,OK
2026-06-15T01:27:46.668077,7E:87:83:88:EE:D9,Unknown EE:D9,100,-89,,,OK
2026-06-15T01:27:46.669782,7E:87:83:88:EE:D9,h61,91,-90,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:47.035702,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-65,,,OK
2026-06-15T01:27:47.036706,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-65,,,OK
2026-06-15T01:27:47.037707,6D:83:CF:21:F3:ED,34,99,-65,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:47.613438,7E:87:83:88:EE:D9,h61,91,-88,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.021169,7E:87:83:88:EE:D9,h61,91,-78,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.022071,7E:87:83:88:EE:D9,h61,91,-78,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.022905,7E:87:83:88:EE:D9,h61,91,-78,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.394169,6D:83:CF:21:F3:ED,34,99,-63,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.395402,6D:83:CF:21:F3:ED,34,99,-63,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.396183,6D:83:CF:21:F3:ED,34,99,-62,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.420387,6D:83:CF:21:F3:ED,34,99,-75,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:48.421257,6D:83:CF:21:F3:ED,34,99,-75,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:49.362075,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-48,,,OK
2026-06-15T01:27:49.363881,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-48,,,OK
2026-06-15T01:27:49.364705,6D:83:CF:21:F3:ED,34,99,-48,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:49.406754,6D:83:CF:21:F3:ED,34,99,-57,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:49.407535,6D:83:CF:21:F3:ED,34,99,-57,22.494799999999998,88.27300000000002,OK
2026-06-15T01:27:51.132630,6D:83:CF:21:F3:ED,Unknown F3:ED,100,-46,,,OK
